patch,ra,ra_wrapped,dec,rotpmra,rotpmdec,b-r,g,5d_distance,nn_score
3,145.7696533203125,145.7696533203125,29.695894241333008,-5.139830883071252,-10.660382491523299,0.6283740997314453,19.351205825805664,0.1936599233707616,0.7235615
3,147.58145141601562,147.58145141601562,33.77144241333008,-4.03136350162779,-12.89370800485688,0.6921806335449219,19.217056274414062,0.18113229247394222,0.67346984
3,150.87847900390625,150.87847900390625,38.054473876953125,-4.654859440160526,-12.773976549872955,0.6794300079345703,19.20345687866211,0.19309280607431978,0.65146446
0,144.66864013671875,144.66864013671875,29.123870849609375,-3.2948246657753177,-9.761043813649586,0.6986026763916016,18.599613189697266,0.1382447541165647,0.6503523
3,145.06744384765625,145.06744384765625,34.77471160888672,-3.889828736322011,-11.528839218461666,0.5609683990478516,18.343339920043945,0.19503849976605572,0.64514494
3,147.40753173828125,147.40753173828125,34.80705642700195,-4.174263255630012,-13.03054144283985,0.6324481964111328,18.28049659729004,0.13548485228307308,0.64446616
0,137.8504638671875,137.8504638671875,25.221641540527344,-2.82355339385266,-13.327345966057278,0.7139968872070312,18.919307708740234,0.17392072328902286,0.60684645
10,155.31689453125,155.31689453125,42.29425048828125,-5.896888408533822,-11.941321838666978,0.7479362487792969,19.369457244873047,0.19244571882433523,0.60509133
0,141.36676025390625,141.36676025390625,26.641132354736328,-2.638692084461313,-12.904817173794962,0.7544040679931641,19.493120193481445,0.14932564557489372,0.58291
10,154.85260009765625,154.85260009765625,43.4116325378418,-6.815930289433395,-9.934284194124146,0.6463203430175781,19.69709014892578,0.14733333496354634,0.58108485
10,156.0645751953125,156.0645751953125,43.711978912353516,-5.672550174878627,-10.338527775209464,0.6970882415771484,18.543447494506836,0.1407979340921202,0.57557446
0,141.07266235351562,141.07266235351562,28.94442367553711,-3.3982715133080887,-11.64478379289225,0.8108711242675781,19.61024284362793,0.07930024848531277,0.5643606
10,152.97796630859375,152.97796630859375,43.714725494384766,-5.651521204120799,-11.580858082409685,0.6400871276855469,18.764665603637695,0.17082898608860855,0.55760217
0,139.2840576171875,139.2840576171875,27.534751892089844,-2.4740005830584826,-11.7590036528464,0.6781597137451172,18.488265991210938,0.1846294940245279,0.5548533
10,156.3486328125,156.3486328125,41.46699905395508,-7.580686371417608,-10.434605003706881,0.6142520904541016,18.231027603149414,0.180773219747795,0.55421346
0,141.21737670898438,141.21737670898438,21.388324737548828,-3.016653413623322,-12.21149662184136,0.7316150665283203,19.05650520324707,0.19472563312321106,0.5534445
16,161.86386108398438,161.86386108398438,48.21865463256836,-6.015318440566416,-14.154293412731807,0.6598091125488281,18.74588394165039,0.1344410827446625,0.54042894
0,137.82159423828125,137.82159423828125,25.3659725189209,-2.537414606877724,-10.83683479922841,0.7714557647705078,19.665090560913086,0.1771475563654285,0.52905554
9,159.31063842773438,159.31063842773438,44.86054992675781,-6.879270428392554,-10.555116950442015,0.6469440460205078,18.803308486938477,0.19168479613891842,0.5279486
19,179.38702392578125,179.38702392578125,53.86198806762695,-7.5530207785435906,-9.258564237045604,0.6334648132324219,18.81706428527832,0.16762371898850043,0.5162138
9,165.8336181640625,165.8336181640625,46.72565460205078,-5.527166318063981,-10.702893061865344,0.6135311126708984,18.830116271972656,0.140190024641038,0.511229
9,168.92172241210938,168.92172241210938,53.02139663696289,-6.625410586366841,-11.69019707152545,0.5869140625,18.738834381103516,0.18004043793543828,0.5004821
9,167.5484619140625,167.5484619140625,46.37798309326172,-6.176190381978009,-11.992227691239949,0.6464977264404297,19.345844268798828,0.08768721250806455,0.49930134
8,177.67529296875,177.67529296875,53.52735137939453,-7.3333273996779065,-4.620955740353548,0.658935546875,19.764720916748047,0.14467301242618374,0.49893928
9,163.15911865234375,163.15911865234375,48.486297607421875,-6.168635081918876,-10.865489501292497,0.6663417816162109,18.826414108276367,0.1578966645890778,0.4981891
19,177.18832397460938,177.18832397460938,53.99293518066406,-7.534313153034504,-7.876132818625545,0.5865001678466797,17.83997917175293,0.1721817804647111,0.4969509
9,163.64862060546875,163.64862060546875,48.51435470581055,-6.055203339706846,-10.116211824450104,0.6586971282958984,18.768089294433594,0.10712578727195207,0.49560073
14,-161.0106658935547,198.9893341064453,59.257328033447266,-7.368140494410971,-2.4623658359463296,0.6414947509765625,18.581871032714844,0.18156218496329357,0.49106348
8,173.1300048828125,173.1300048828125,50.447811126708984,-7.938227615268831,-8.033702521045756,0.6171836853027344,18.6533203125,0.16153258799975345,0.4878723
9,169.4942626953125,169.4942626953125,48.41838836669922,-6.111476460025867,-10.342608026631337,0.6735019683837891,19.31727409362793,0.08038885034804526,0.48715028
5,139.2552490234375,139.2552490234375,23.343828201293945,-4.839177508339833,-9.087820506994197,0.9036979675292969,19.89190101623535,0.14551639876949202,0.4868294
15,175.22314453125,175.22314453125,56.52069091796875,-7.375710112823599,-5.447341584080486,0.6135540008544922,18.8432674407959,0.18270032779624815,0.48573533
7,-161.189697265625,198.810302734375,58.10185241699219,-7.160570979635136,-2.929496675014109,0.5739822387695312,19.411312103271484,0.11997830907460559,0.48546708
9,170.37442016601562,170.37442016601562,52.475494384765625,-6.2164588050231036,-8.171409926297365,0.7154464721679688,19.745758056640625,0.1598198846816108,0.4811968
9,164.1773681640625,164.1773681640625,47.26978302001953,-5.754378977127969,-7.338519495012693,0.597015380859375,18.26605224609375,0.1981526157899657,0.47771153
9,172.8173828125,172.8173828125,47.33081817626953,-6.053679796831335,-7.922385582276504,0.6426334381103516,19.38686180114746,0.1750698216073241,0.4768003
5,141.2696533203125,141.2696533203125,26.119367599487305,-4.172782488938502,-13.014251836624574,0.6373405456542969,17.898008346557617,0.1610384385580268,0.4754616
7,-165.57904052734375,194.42095947265625,53.81974411010742,-7.492790269050677,-1.9078698769034987,0.6057281494140625,19.301639556884766,0.15936300553043078,0.47411302
7,-155.63827514648438,204.36172485351562,57.70420837402344,-8.309438749156605,-5.412242106957069,0.5686378479003906,19.430788040161133,0.19419543076582757,0.47281045
9,162.7884521484375,162.7884521484375,44.817325592041016,-6.15808496664943,-7.67665940660338,0.7640914916992188,19.55645179748535,0.07244423501140955,0.47200292
7,-164.8882293701172,195.1117706298828,56.396278381347656,-8.144449187672693,-3.4519878358001184,0.7271080017089844,19.597522735595703,0.17376769712221693,0.4691535
7,-168.25509643554688,191.74490356445312,56.309932708740234,-8.440811417889458,-3.782678849918047,0.7360496520996094,19.454965591430664,0.18366636196425054,0.46717027
8,172.5162353515625,172.5162353515625,54.581695556640625,-7.979614048619987,-8.76998258622303,0.6128787994384766,18.819555282592773,0.19551670933337575,0.46681485
7,-159.28695678710938,200.71304321289062,56.54892349243164,-8.371296739073015,-4.555717577341928,0.6034450531005859,18.76734733581543,0.1658503487214813,0.46664056
8,172.53607177734375,172.53607177734375,52.98053741455078,-8.045864793984048,-7.657255242279477,0.7400665283203125,19.31527328491211,0.19903921767692628,0.46636948
7,-167.56539916992188,192.43460083007812,54.16391372680664,-9.025725070806178,-3.3143331758139576,0.7143840789794922,19.72022247314453,0.1674015728455641,0.4660561
7,-157.58689880371094,202.41310119628906,58.419315338134766,-8.423603480985095,-3.3032656700909593,0.6262702941894531,19.09521484375,0.0704588274113599,0.46474928
7,-170.21987915039062,189.78012084960938,56.00925064086914,-9.288627582163285,-1.8165442839096926,0.7695980072021484,19.816543579101562,0.16682463158621505,0.46407554
7,-161.4773406982422,198.5226593017578,58.120323181152344,-7.175122661773666,-6.185199739549149,0.7270793914794922,19.497987747192383,0.13032960558684265,0.4615565
7,-169.74684143066406,190.25315856933594,58.10258483886719,-8.794250826751288,-1.9056694857565606,0.6409816741943359,19.427656173706055,0.10050974538191294,0.46088064
7,-157.71856689453125,202.28143310546875,55.93502426147461,-9.724114514743661,-3.964796978705153,0.7194919586181641,19.56012535095215,0.1915056480706883,0.45880714
7,-159.4528045654297,200.5471954345703,58.10374450683594,-7.899146606803866,-3.196247628836007,0.6099510192871094,19.488054275512695,0.18995823581158586,0.45836818
