patch,ra,ra_wrapped,dec,rotpmra,rotpmdec,b-r,g,5d_distance,nn_score
3,150.55978393554688,150.55978393554688,36.83198165893555,-2.2018459682760994,-13.133117157361482,0.6303272247314453,18.824237823486328,0.07504712123953665,0.7201724
17,157.63601684570312,157.63601684570312,43.823238372802734,-6.345773063125957,-10.317570744932796,0.6640396118164062,19.623979568481445,0.1218680884377442,0.7014184
3,149.11679077148438,149.11679077148438,38.69732666015625,-4.249999037644243,-12.9751171464472,0.625946044921875,19.04779624938965,0.10437071835877464,0.6796701
10,159.31063842773438,159.31063842773438,44.86054992675781,-5.905547181970213,-11.129212368626465,0.6469440460205078,18.803308486938477,0.09188064216525234,0.6662822
3,147.40753173828125,147.40753173828125,34.80705642700195,-4.174263255630012,-13.03054144283985,0.6324481964111328,18.28049659729004,0.0720536963454793,0.656383
3,147.58145141601562,147.58145141601562,33.77144241333008,-4.03136350162779,-12.89370800485688,0.6921806335449219,19.217056274414062,0.07502468224610168,0.6269942
10,154.44366455078125,154.44366455078125,44.60209655761719,-5.058266285288072,-12.046525111788142,0.5684146881103516,18.178821563720703,0.05656864033209287,0.6129907
10,158.903076171875,158.903076171875,46.07804489135742,-7.604746175276204,-11.564457902682287,0.6693515777587891,18.462615966796875,0.08342828527553814,0.60926986
3,149.09133911132812,149.09133911132812,37.72677230834961,-3.494489472178618,-13.09263664772675,0.6860408782958984,19.524234771728516,0.07988013418296133,0.60755354
10,150.87847900390625,150.87847900390625,38.054473876953125,-6.129417699531384,-12.135585357494184,0.6794300079345703,19.20345687866211,0.12194464827794518,0.60503006
16,169.4942626953125,169.4942626953125,48.41838836669922,-6.956947153339323,-9.793904819816927,0.6735019683837891,19.31727409362793,0.1014920685161353,0.5982362
16,154.65997314453125,154.65997314453125,41.46095657348633,-6.09453982081922,-12.031218490659827,0.7268791198730469,19.930288314819336,0.13599763262213907,0.5961685
4,145.1436767578125,145.1436767578125,31.714038848876953,-1.890479214864093,-13.13073729062921,0.7208061218261719,19.955751419067383,0.12649917341610667,0.5940213
16,159.850341796875,159.850341796875,47.06196594238281,-4.3775929402234715,-11.611043652237448,0.7211570739746094,19.6625919342041,0.08958095109471531,0.5929325
16,165.17697143554688,165.17697143554688,47.51450729370117,-4.9876962727201635,-10.003888334841893,0.7545986175537109,19.514991760253906,0.08469027566602527,0.58254933
10,155.014404296875,155.014404296875,41.698795318603516,-3.1665968811684144,-13.935496525454884,0.6314659118652344,18.218360900878906,0.1328652275845205,0.5787203
10,164.77716064453125,164.77716064453125,44.97621154785156,-5.270597741400033,-11.450611430672948,0.6039466857910156,18.769824981689453,0.11328302518257448,0.57853967
10,159.05267333984375,159.05267333984375,44.60386276245117,-4.35037883277646,-11.570439854164574,0.7725830078125,19.27202606201172,0.09776391970592234,0.57804435
10,161.5367431640625,161.5367431640625,43.45612716674805,-2.87614928291389,-12.936918725954381,0.6578769683837891,18.640230178833008,0.1316595910017506,0.5657121
10,157.69522094726562,157.69522094726562,39.03300857543945,-6.417009361680894,-12.026257653753362,0.5521659851074219,19.565366744995117,0.09363220270309,0.56548303
3,151.3248291015625,151.3248291015625,43.04148483276367,-3.3718095127662564,-12.260069635445792,0.6334323883056641,18.682613372802734,0.1334021800783444,0.5612908
10,152.97796630859375,152.97796630859375,43.714725494384766,-5.651521204120799,-11.580858082409685,0.6400871276855469,18.764665603637695,0.13294194744398427,0.55132437
10,155.35772705078125,155.35772705078125,46.33919906616211,-4.67918247390418,-10.843450972829965,0.6495456695556641,18.90367317199707,0.07950591869379707,0.55116206
0,140.7174072265625,140.7174072265625,25.78525733947754,-2.7717857410997224,-13.693962755668169,0.6673927307128906,17.824779510498047,0.05824849781898722,0.5502215
16,163.21844482421875,163.21844482421875,48.076866149902344,-9.051814309712606,-9.186516691456939,0.7250556945800781,19.96346092224121,0.14206006900501567,0.54945153
16,160.19964599609375,160.19964599609375,43.48881912231445,-4.412149524357846,-10.008025453875954,0.7685985565185547,19.447389602661133,0.11798340101346656,0.5478365
20,155.15988159179688,155.15988159179688,41.562156677246094,-5.020114191441642,-10.208233306148275,0.6984424591064453,19.376245498657227,0.1380585116831552,0.54727805
0,137.8504638671875,137.8504638671875,25.221641540527344,-2.82355339385266,-13.327345966057278,0.7139968872070312,18.919307708740234,0.08730084362422647,0.5466506
0,141.2696533203125,141.2696533203125,26.119367599487305,-2.6640702704086814,-13.404685530119773,0.6373405456542969,17.898008346557617,0.11911108043032012,0.5325429
20,156.17831420898438,156.17831420898438,45.484989166259766,-4.845636626715173,-10.329934306773964,0.7093162536621094,19.7548885345459,0.11652060937101574,0.52579534
20,154.33718872070312,154.33718872070312,44.34054183959961,-5.319504758091037,-12.756130108686033,0.7223339080810547,19.12070083618164,0.1126688527062791,0.5232367
0,140.78497314453125,140.78497314453125,27.897663116455078,-0.9274357292248872,-12.322038534457558,0.6964817047119141,18.471872329711914,0.13663583431902385,0.5101717
20,156.92214965820312,156.92214965820312,40.987308502197266,-4.998250433861158,-11.350695420891572,0.6537857055664062,19.41935920715332,0.0682087361104084,0.50928
0,136.3712158203125,136.3712158203125,28.436372756958008,-3.800966492644472,-13.946786342056036,0.66192626953125,18.75308609008789,0.11254561981240978,0.5060487
9,167.5484619140625,167.5484619140625,46.37798309326172,-6.176190381978009,-11.992227691239949,0.6464977264404297,19.345844268798828,0.0801522695215253,0.5048516
0,143.84527587890625,143.84527587890625,31.501731872558594,-5.278304694725941,-14.42959901582219,0.7379894256591797,19.1833553314209,0.1389273714231876,0.50420505
9,167.14385986328125,167.14385986328125,46.34579086303711,-3.8403013937442254,-11.720012639048607,0.6657600402832031,19.820545196533203,0.1384935698023918,0.502658
9,166.87149047851562,166.87149047851562,44.2706298828125,-7.36491630306314,-12.161894087587346,0.6466121673583984,19.118101119995117,0.13148602988876806,0.5015358
0,141.5684814453125,141.5684814453125,26.96778678894043,-3.1971119353608213,-13.387559702719166,0.6632671356201172,17.829723358154297,0.09584022315514062,0.5013657
5,132.4451904296875,132.4451904296875,18.34300994873047,-3.147180444630434,-12.643692821764743,0.6357955932617188,18.71641731262207,0.13860216545699716,0.5009767
0,144.12091064453125,144.12091064453125,30.947675704956055,-3.067362022427932,-13.86519469438688,0.6273307800292969,17.80284309387207,0.09159623121256204,0.4942486
0,138.14724731445312,138.14724731445312,21.27695083618164,-2.878280463711216,-13.210090867763352,0.7064399719238281,18.334787368774414,0.08582370199759207,0.48957077
9,165.8336181640625,165.8336181640625,46.72565460205078,-5.527166318063981,-10.702893061865344,0.6135311126708984,18.830116271972656,0.12881528868383102,0.48665637
0,144.08761596679688,144.08761596679688,30.310270309448242,-3.143600481836976,-13.697854080712121,0.6406822204589844,17.837034225463867,0.10298055147605145,0.48538083
9,165.907470703125,165.907470703125,45.04759979248047,-4.981373767116463,-11.667398710659526,0.7173213958740234,19.866817474365234,0.11339126687328414,0.48431826
9,174.97723388671875,174.97723388671875,50.07014846801758,-6.248242839268865,-11.116914948979774,0.6454315185546875,18.817955017089844,0.1021333182900728,0.48111928
0,141.16754150390625,141.16754150390625,29.967405319213867,-3.6467021194897566,-13.302765212046424,0.6534233093261719,17.853487014770508,0.12141077690030287,0.47969204
0,145.09976196289062,145.09976196289062,31.45631980895996,-3.7000716074786535,-13.506024946077092,0.6403331756591797,17.930652618408203,0.12478973846889801,0.47811806
9,161.59182739257812,161.59182739257812,46.37237548828125,-3.1255067611535177,-10.37807756479173,0.5894565582275391,19.584396362304688,0.11298600346525718,0.47760838
9,171.31982421875,171.31982421875,49.831878662109375,-6.006611617776718,-10.613101020279629,0.6001129150390625,18.95548439025879,0.09292843571481026,0.46450603
9,166.59027099609375,166.59027099609375,45.69953536987305,-4.017369985808553,-10.259810799654048,0.70965576171875,19.94062614440918,0.13132506109219275,0.46441576
9,162.02392578125,162.02392578125,44.91496658325195,-3.725619361469657,-11.03247471595488,0.7152786254882812,19.301708221435547,0.07496910175402371,0.45668215
9,164.048828125,164.048828125,46.70176696777344,-3.0492665487281596,-10.763249213086418,0.6695117950439453,18.676067352294922,0.10130559852371203,0.45576704
9,175.18109130859375,175.18109130859375,51.386016845703125,-5.954490193957184,-10.937270190115932,0.7198009490966797,19.908695220947266,0.11042064694949012,0.45322916
9,163.15911865234375,163.15911865234375,48.486297607421875,-6.168635081918876,-10.865489501292497,0.6663417816162109,18.826414108276367,0.09655396162918811,0.45304608
8,177.87457275390625,177.87457275390625,53.898765563964844,-7.61850326311781,-8.521133305983513,0.5960350036621094,19.528461456298828,0.1294876398509196,0.44693315
8,-179.1043701171875,180.8956298828125,54.293922424316406,-3.7631184435880756,-7.778695586113763,0.6987667083740234,19.76952362060547,0.11612742623941529,0.4425642
9,163.44357299804688,163.44357299804688,48.210792541503906,-5.825465636768274,-11.674668189730502,0.7606601715087891,19.350601196289062,0.08776292744139211,0.43842015
